Price,Close,High,Low,Open,Volume
Ticker,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS
Date,,,,,
2018-01-01,283.36627197265625,288.57961510289175,282.6280818011682,286.5957800553425,12182400
2018-01-02,279.8138122558594,285.1194327685426,278.0606563269619,285.1194327685426,14797364
2018-01-03,279.4447326660156,282.76651811398784,278.7988197714657,281.7053714787877,13857373
2018-01-04,284.6580810546875,286.2267105931739,279.7215414402381,280.96721452561536,24517099
2018-01-05,282.6742248535156,287.3339322354532,281.9821874309066,287.3339322354532,14580575
2018-01-08,282.1667175292969,285.5807801223378,281.4285555325138,283.45854326228005,13557197
2018-01-09,280.78265380859375,285.5807914553185,279.85993719646024,283.73535823105146,15574755
2018-01-10,277.8299560546875,282.2128596232981,276.8149622280365,281.10558851075626,13064599
2018-01-11,278.844970703125,279.58313272722313,276.81498289824077,277.6454222151202,12298455
2018-01-12,278.8910827636719,281.10559689573716,277.32245333396,281.10559689573716,17594228
2018-01-15,279.21405029296875,281.65924366429977,278.2451809623142,280.4597233414811,18189668
2018-01-16,273.2625427246094,279.9061141711423,272.47822790453444,279.02952205004465,18040940
2018-01-17,283.36627197265625,284.5657922825951,269.9868813443847,273.12411213575047,26277307
2018-01-18,279.8138122558594,293.2393276808447,277.27634157588045,290.6557324339512,40000111
2018-01-19,285.3501281738281,286.04216567142026,279.1217906954988,280.45974112114146,18461642
2018-01-22,282.8126220703125,284.88873430410763,280.551955263217,284.5196533165811,12622645
2018-01-23,293.51617431640625,295.7768132313251,282.67425359322505,282.7203781624586,35252217
2018-01-24,304.4041442871094,305.9727734799955,291.7629461055913,293.14702074905415,38070520
2018-01-25,288.94866943359375,307.03391865883646,287.7491492343936,307.03391865883646,42466150
2018-01-29,287.9798583984375,292.40888684413034,286.9648644999024,288.94869957122154,23600898
2018-01-30,289.3177795410156,294.20819443124554,286.96486346753284,287.9337046368314,25810404
2018-01-31,289.0409851074219,292.1320914578641,284.0583209241372,288.81030594931536,16409938
2018-02-01,282.39739990234375,292.87023878602554,281.42855875060303,292.4088804929918,19515991
2018-02-02,274.36981201171875,282.1206265365911,272.66278051206103,279.49087835161333,23274673
2018-02-05,275.01568603515625,277.184075792629,267.58782827259955,270.0330217612061,18940578
2018-02-06,269.2026062011719,274.32367279329486,261.036557502071,262.9742682684969,30577218
2018-02-07,270.17138671875,274.87724661870044,267.58779171752064,273.6777264022168,21463818
2018-02-08,278.10675048828125,279.85990622550503,269.9407037427876,270.26366015310936,18932796
2018-02-09,273.4931640625,277.3685846132955,272.2013665985924,274.0467995924812,15750824
2018-02-12,266.4344482421875,269.80235857949367,263.1126624764431,265.973089890253,50839665
2018-02-14,254.8543243408203,266.38828130484956,253.74705320864365,266.38828130484956,45641149
2018-02-15,257.1611328125,260.482890111489,253.05503259697682,253.56251547346776,26058237
2018-02-16,250.65594482421875,259.46790475980737,249.17959271447398,258.8219919120833,30338112
2018-02-19,247.7493896484375,250.97889752094972,236.81519307683132,250.51753925344798,43847791
2018-02-20,248.81056213378906,253.00894017640383,244.33538033411403,248.2108018874384,33458021
2018-02-21,252.17843627929688,252.9166264569757,246.734413954642,251.163470543487,23714454
2018-02-22,251.5325469970703,252.45526358314976,248.62599538273517,249.50255924406534,25584062
2018-02-23,254.7158660888672,255.77701253916504,251.44023393789206,252.3168258335977,15482147
2018-02-26,253.23956298828125,258.36062846748945,252.68592743832187,258.36062846748945,15306032
2018-02-27,246.91896057128906,254.577496863704,245.39648385762527,251.90162443376838,20824909
2018-02-28,247.28805541992188,248.85668494554457,240.64448445844255,243.82786807729235,26810799
2018-03-01,241.89015197753906,249.13348294688404,241.05971266619798,245.7194202502778,22859175
2018-03-05,243.1358184814453,244.5198933494611,238.75291473272856,240.32154418010992,18484565
2018-03-06,236.72293090820312,245.44261398443848,235.29273145124742,245.30421212716465,20778164
2018-03-07,227.58804321289062,235.615688877287,227.03442170193986,235.33887108204266,31262500
2018-03-08,236.95359802246094,238.01474457884424,225.4196552636954,227.91098712486135,33133336
2018-03-09,233.677978515625,237.50724676669174,232.20162632655416,237.13816575919301,21536191
2018-03-12,233.3089141845703,235.52342854692762,228.14169523301803,234.46231001486868,25332474
2018-03-13,235.0159149169922,242.1208299124051,230.31006871046372,231.8786841126399,37647221
2018-03-14,237.18429565429688,237.92248584495516,230.67915475386837,232.98594630140707,25471485
