Price,Close,High,Low,Open,Volume
Ticker,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS
Date,,,,,
2018-01-01,994.7455444335938,1006.9317865162516,991.6119150396306,1006.5835717405419,1317415
2018-01-02,997.9786987304688,1000.7641135431547,987.3343764329832,995.7901368356837,1072207
2018-01-03,994.894775390625,1001.6594321416054,992.9051847503338,997.381763690989,884021
2018-01-04,995.193359375,997.6803479173032,990.9156905082438,995.7902123381554,783950
2018-01-05,997.8294677734375,1001.4604951028508,991.4130255960786,997.2823424721876,2147402
2018-01-08,1000.8635864257812,1007.8271539389405,998.4761139946208,1003.5992736630938,1780412
2018-01-09,1004.49462890625,1015.3379227699518,990.8161925136172,1004.7433277497524,1242106
2018-01-10,997.0336303710938,1004.1961689687416,994.8947961012617,1002.355761157668,676881
2018-01-11,1012.3534545898438,1015.6859945356548,995.8398162893307,998.4760481037682,2077738
2018-01-12,1018.0238037109375,1020.5605804438143,1010.8115373768534,1017.1782519449719,2320796
2018-01-15,1032.94580078125,1035.9799753883342,1015.0394832089204,1019.6653062021031,3511372
2018-01-16,1027.872314453125,1038.566364663985,1022.1522410845255,1038.1187553221741,1158187
2018-01-17,1021.75439453125,1028.767751110961,1016.4819907271914,1022.699523080959,1603465
2018-01-18,1041.0533447265625,1045.331013350554,1026.031959070538,1027.6236073602859,3648214
2018-01-19,1055.0302734375,1058.3628136248735,1037.6213545415392,1047.2210326704699,4304314
2018-01-22,1068.509765625,1072.588402671806,1038.566446949191,1055.4779695527698,3189930
2018-01-23,1069.8526611328125,1078.109511501931,1064.6797736423912,1071.344854228317,2458463
2018-01-24,1074.4783935546875,1078.3581195633587,1065.375992151452,1065.674479319417,1168000
2018-01-25,1086.6646728515625,1092.2852908482967,1044.6345694468807,1070.3997932174566,4061319
2018-01-29,1109.296142578125,1113.6732659003674,1085.3216016947752,1086.316396930059,2215014
2018-01-30,1082.38720703125,1112.1812813337722,1078.3084486547548,1107.257092570914,2692935
